NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,telemec Green LED body,ZB4-BVB3,1,21,,1414475 BOM,,,,,,,,,,
,,telemec Green lens,ZB4-BV033,1,22,,1414475 BOM,,,,,,,,,,
,,Weidmuller Terminals,WDU6,1,23,,1414475 BOM,,,,,,,,,,
,,Siemens Logo Basic 12/24Rc,6ED1-052-1MD00-0BA7,1,24,,1414475 BOM,,,,,,,,,,
,,Siemens Logo DM8,6ED1-055-1MB00-0BA1,2,25,,1414475 BOM,,,,,,,,,,
,,telemec yellow LED Body,ZB4-BVB5,1,26,,1414475 BOM,,,,,,,,,,
,,telemec Yellow lens,ZB4-BV053,1,27,,1414475 BOM,,,,,,,,,,
,,Weidmuller Earth Terminals,WPE6,2,28,,1414475 BOM,,,,,,,,,,
,,Weidmuller Terminals,WDU2.5mm,12,29,,1414475 BOM,,,,,,,,,,
,,Weidmuller Terminals,WDU2.5mm,18,30,,1414475 BOM,,,,,,,,,,
,,Weidmuller Terminals,WDU2.5mm,8,31,,1414475 BOM,,,,,,,,,,
,,Weidmuller Earth Terminals,WDU2.5mm,1,32,,1414475 BOM,,,,,,,,,,
IBC FILLING PRE-MIX,05_Fill-Chutes,FAB: MANUAL FILL LID WITH VENT,107-123,1,1,,107-127-B,,,,,,,,,,
,,FILTER SOCK DIA 75,102-838,1,2,,107-127-B,,,,,,,,,,
,,BAND CLAMPING STRIP,FJ-SS,1,3,,107-127-B,,,,,,,,,,
,,BAND CLAMP CLIP - STAINLESS,FJ-CLIP-SS,1,4,,107-127-B,,,,,,,,,,
,,SMALL COUNTER WEIGHT 177g,107-693,1,5,,107-127-B,,,,,,,,,,
,,FLAT WASHER 6 DIA,MF-WF-6DIA-SS,1,6,,107-127-B,,,,,,,,,,
,,DOME NUT M6 ST STL,FD-M6-SS,1,7,,107-127-B,,,,,,,,,,
,,FAB: MAIN CHUTE (PREMIX),13502-031,1,1,,13502-029-A,,,,,,,,,,
,,FAB: TRANS CHUTE (PREMIX),13502-032,1,2,,13502-029-A,,,,,,,,,,
,,QUICK CONNECT PULL RING 250DIA,12253903,1,3,,13502-029-A,,,,,,,,,,
,,PULL RING 250 DIA,12253383,1,4,,13502-029-A,,,,,,,,,,
,,SEAL KELTAN (EPDM) DN250 2mm,102589525,2,5,,13502-029-A,,,,,,,,,,
,,SUPPORT BLOCK DETAIL,11825-053,3,6,,13502-029-A,,,,,,,,,,
,,SETSCREW M10X50LG ST STL,MF-SS-M10X50-SS,3,7,,13502-029-A,,,,,,,,,,
,,LOCK NUT M12 ST STL,MF-NL-M12-SS,3,8,,13502-029-A,,,,,,,,,,
,,C'SK SCREW M12X70LG ST STL,MF-SK-M12X70-SS,3,9,,13502-029-A,,,,,,,,,,
,,C'SK SCREW M12X35LG ST STL,MF-SK-M12X35-SS,3,10,,13502-029-A,,,,,,,,,,
,,DOME NUT M12 ST STL,FD-M12-SS,6,11,,13502-029-A,,,,,,,,,,
,,FLAT WASHER 12 DIA STAINLESS,MF-WF-12DIA-SS,6,12,,13502-029-A,,,,,,,,,,
