NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,Filter LF-1/4-D-MINI,159613,1,7,,1406770. BOM,,,,,,,,,,
,,F/panel valve SV-3-M5,6817,1,9,,1406770. BOM,,,,,,,,,,
,,Selector switch N-22-SW,9301,1,10,,1406770. BOM,,,,,,,,,,
,,Silencer U-M5,4645,1,11,,1406770. BOM,,,,,,,,,,
,,Pneumatic valve VL/O-3-1/4,9984,1,12,,1406770. BOM,,,,,,,,,,
,,1/4 flat silencer,1206623,1,13,,1406770. BOM,,,,,,,,,,
,,Vacuum actuator VUV,7654,1,14,,1406770. BOM,,,,,,,,,,
,,Solenoid valve MCH-3-1/8,2199,1,15,,1406770. BOM,,,,,,,,,,
,,Silencer U-M5,4645,1,16,,1406770. BOM,,,,,,,,,,
,,Press.indicat. OH-22-GN,4237,1,17,,1406770. BOM,,,,,,,,,,
,,Push b/head con QSS-8,153159,1,18,,1406770. BOM,,,,,,,,,,
,,"Plastic tubing PLN-8X1,25-NT",193405,5,19,,1406770. BOM,,,,,,,,,,
,,Vacuum gener. VAD-1/4,9394,1,20,,1406770. BOM,,,,,,,,,,
,,1/4 flat silencer,1206623,1,21,,1406770. BOM,,,,,,,,,,
,,Non-ret. valve HA-1/4-QS-8,153454,1,22,,1406770. BOM,,,,,,,,,,
,,Push b/head con QSS-8,153159,1,23,,1406770. BOM,,,,,,,,,,
,,"Plastic tubing PLN-8X1,25-NT",193405,1,24,,1406770. BOM,,,,,,,,,,
,,Press regulator LR-1/4-D-2.5-O-MINI-SA,532435,1,25,,1406770. BOM,,,,,,,,,,
,,"Pressure gauge MA-50-2,5-1/4-EN",162837,1,26,,1406770. BOM,,,,,,,,,,
,,Branch module FRM-D-MINI,170684,1,27,,1406770. BOM,,,,,,,,,,
,,Pneumatic valve VL/O-3-1/8-B,7803,1,28,,1406770. BOM,,,,,,,,,,
,,1/8 flat silencer,1206622,1,29,,1406770. BOM,,,,,,,,,,
,,1-way contr.val GR-QS-6,193969,1,30,,1406770. BOM,,,,,,,,,,
,,Push b/head con QSS-6,153158,1,31,,1406770. BOM,,,,,,,,,,
,,Plastic tubing PLN-6X1-NT,193404,5,32,,1406770. BOM,,,,,,,,,,
,,B/head fitting SCM-1/4,9971,1,33,,1406770. BOM,,,,,,,,,,
,,Silencer U-1/4,2316,1,34,,1406770. BOM,,,,,,,,,,
,,Supply manifold PAL-5-1/4-3,9189,1,35,,1406770. BOM,,,,,,,,,,
,,Non-ret. valve HB-1/4-QS-8,153455,1,36,,1406770. BOM,,,,,,,,,,
,,P/in connector QS-8H-6,153042,2,37,,1406770. BOM,,,,,,,,,,
IBC BLENDER,04_Maintenance,ASSY BLENDER CONE CLAMP,SLORID CONE CLAMP,1,1,,105-856-F,,,,,,,,,,
,,H/D INFLATABLE SEAL I/D 384mm,PRS-36855-1,1,2,,105-856-F,,,,,,,,,,
,,"6MM O/D - 1/8"" NPTF ELBOW",FE-6-125N,1,3,,105-856-F,,,,,,,,,,
,,"1/4"" BSPT X 8O/D SWIVEL ELBOW",101470828,2,4,,105-856-F,,,,,,,,,,
,05_Hydraulic System,Oil-level switch,HO.001.01.0,1,1,,PARTS 05B,,,,,,,,,,
,,Drain valve incl. connectors,HT.003.40.0,2,2,,PARTS 05B,,,,,,,,,,
,,Filter,HF.001.01.0,1,3,,PARTS 05B,,,,,,,,,,
,,Filter flange,HF.001.02.1,1,4,,PARTS 05B,,,,,,,,,,
,,Hose incl. 2 clamps,HP.001.20.0,1,5,,PARTS 05B,,,,,,,,,,
,,Pump flange,HP.210.02.0,2,6,,PARTS 05B,,,,,,,,,,
,,Oil-pump,HP.210.01.0,1,7,,PARTS 05B,,,,,,,,,,
,,Pump/motor flange,HP.210.03.0,1,8,,PARTS 05B,,,,,,,,,,
,,Coupeling,HP.210.04.0,1,9,,PARTS 05B,,,,,,,,,,
,,Electric motor,HM.015.01.0,1,10,,PARTS 05B,,,,,,,,,,
,,5/3 Valve,HV.001.07.0,1,11,,PARTS 05B,,,,,,,,,,
,,safety valve,HV.001.04.0,3,12,,PARTS 05B,,,,,,,,,,
,,Sealset,HV.001.10.0,1,13,,PARTS 05B,,,,,,,,,,
,,Oil-pressure switch,HV.001.06.0,1,14,,PARTS 05B,,,,,,,,,,
,,Pressure regulator,HV.001.03.0,1,15,,PARTS 05B,,,,,,,,,,
,,Base Plate,HV.001.01.1,1,16,,PARTS 05B,,,,,,,,,,
,,Pressure regulator,HV.001.02.0,1,17,,PARTS 05B,,,,,,,,,,
,07_Pneumatic System,Air entry,-,,1,,Pneumatic Standard Blender,,,,,,,,,,
,,Connector,QS-1/8-6/153002,,2,,Pneumatic Standard Blender,,,,,,,,,,
,,Compressed air filter regulator,LR.001.02.0,,3a,,Pneumatic Standard Blender,,,,,,,,,,
,,Precision pressure gauge,LP.001.00.0,,3b,,Pneumatic Standard Blender,,,,,,,,,,
,,Connector,E1/4-1/4/4575,,4,,Pneumatic Standard Blender,,,,,,,,,,
,,Pressure switch,LS.001.02.0,,5,,Pneumatic Standard Blender,,,,,,,,,,
,,Connector,QM-1/8-1/8/2254,,6,,Pneumatic Standard Blender,,,,,,,,,,
,,Connector,E1/8-1/8/3573,,7,,Pneumatic Standard Blender,,,,,,,,,,
,,Double solenoid valve,LV.002.03.0,,9a,,Pneumatic Standard Blender,,,,,,,,,,
,,Double solenoid valve,LV.002.03.0,,9b,,Pneumatic Standard Blender,,,,,,,,,,
,,Connector,QS-1/8-6/153002,,10,,Pneumatic Standard Blender,,,,,,,,,,
,,Rotary unit,LU.000.00.0,,11,,Pneumatic Standard Blender,,,,,,,,,,
,,T-Connector,3/8 Brons,,12,,Pneumatic Standard Blender,,,,,,,,,,
,,Connector,QS-1/4-6/153003,,13,,Pneumatic Standard Blender,,,,,,,,,,
,,Vacuüm generator,LG.000.01.0,,14,,Pneumatic Standard Blender,,,,,,,,,,
,,L-Connector,QSRL-1/8-6/153411,,15,,Pneumatic Standard Blender,,,,,,,,,,
,,Vacuüm Gauge,LG.001.08.0,,16,,Pneumatic Standard Blender,,,,,,,,,,
,,Vacuüm switch,LS.001.01.0,,17,,Pneumatic Standard Blender,,,,,,,,,,
,,L-Connector,QSRL-1/8-6/153411,,18,,Pneumatic Standard Blender,,,,,,,,,,
,,T-Connector,QSMTL-G1/8-6/186275,,19,,Pneumatic Standard Blender,,,,,,,,,,
,,Air exhaust and inlet coneclamp,QS-1/4-6/153003,,20,,Pneumatic Standard Blender,,,,,,,,,,
,,Precision low pressure regulator,LR.001.00.0,,21,,Pneumatic Standard Blender,,,,,,,,,,
,,Precision pressure gauge,LP.001.00.0,,22,,Pneumatic Standard Blender,,,,,,,,,,
,,connector,QS-1/4-6/153003,,23,,Pneumatic Standard Blender,,,,,,,,,,
,,Non return valve,LV.000.01.0,,24,,Pneumatic Standard Blender,,,,,,,,,,
,,T-connector,QST-6/153129,,25,,Pneumatic Standard Blender,,,,,,,,,,
,,"Solenoid valve, directly regulated",LV.001.01.0,,26,,Pneumatic Standard Blender,,,,,,,,,,
,,Pneumatic seal MATCON,Matcon,,27,,Pneumatic Standard Blender,,,,,,,,,,
,08_Mechanical Construction,FAB: VENT DUCTING TOP,09712-088,1,1,,13556-182-A,,,,,,,,,,
,,FAB: VENT DUCTING BOTTOM,09712-089,1,2,,13556-182-A,,,,,,,,,,
,,INNER GUIDE RING,09712-091,2,3,,13556-182-A,,,,,,,,,,
,,OUTER GUIDE RING,09712-090,2,4,,13556-182-A,,,,,,,,,,
,,ROTATING PLATE,09712-063,1,5,,13556-182-A,,,,,,,,,,
,,ROTATING PLATE 2,09712-086,1,6,,13556-182-A,,,,,,,,,,
,,SETSCREW M4X16LG ST STL,MF-SS-M4X16-SS,4,7,,13556-182-A,,,,,,,,,,
,,FLAT WASHER 4 DIA,MF-WF-4DIA-SS,4,8,,13556-182-A,,,,,,,,,,
,,SPRING WASHER 4 DIA,MF-WS-4DIA-SS,4,9,,13556-182-A,,,,,,,,,,
,,DOME NUT M4 ST STL,FD-M4-SS,4,10,,13556-182-A,,,,,,,,,,
,,SELF ADHESIVE GASKET 20 X 3,SE-GA-20X3,1,11,,13556-182-A,,,,,,,,,,
,,QUICK CONNECT PULL RING 80 DIA,12083903 QCONNECT,2,12,,13556-182-A,,,,,,,,,,
,,U-SHAPED SEAL SILICONE 80 DIA X 1,10087951,2,13,,13556-182-A,,,,,,,,,,
,,PIPE CLAMP DN 80,10083780,3,14,,13556-182-A,,,,,,,,,,
,,BAND CLAMPING STRIP,FJ-SS,1,15,,13556-182-A,,,,,,,,,,
,,BAND CLAMP STRIP STAINLESS,FJ-CLIP-SS,1,16,,13556-182-A,,,,,,,,,,
,,SETSCREW M10X20LG ST STL,MF-SS-M10X20-SS,4,17,,13556-182-A,,,,,,,,,,
,,FLAT WASHER 10 DIA,MF-WF-10DIA-SS,6,18,,13556-182-A,,,,,,,,,,
,,SPRING WASHER 10 DIA,MF-WS-10DIA-SS,6,19,,13556-182-A,,,,,,,,,,
,,M10 STUD BAR FOR JACOB BRACKET,09712-123,2,20,,13556-182-A,,,,,,,,,,
,,FULL NUT M10 STAINLESS,MF-NF-M10-SS,6,21,,13556-182-A,,,,,,,,,,
,,RING SEAL FOR PUSH PIPE 80 DIA,100881555,1,22,,13556-182-A,,,,,,,,,,
,,PULL RING 80 DIA,12083383,1,23,,13556-182-A,,,,,,,,,,
,,EARTHING BRDGE ST.STL,11003792,10,24,,13556-182-A,,,,,,,,,,
,,DUCTING COVER PLATE,09713-085,2,25,,13556-182-A,,,,,,,,,,
,,DUCTING ACCESS PLATE,09713-086,1,26,,13556-182-A,,,,,,,,,,
,,FLAT WASHER 6 DIA,MF-WF-6DIA-SS,12,27,,13556-182-A,,,,,,,,,,
,,SPRING WASHER 6 DIA,MF-WS-6DIA-SS,12,28,,13556-182-A,,,,,,,,,,
,,SETSCREW M6X12LG ST STL,MF-SS-M6X12-SS,12,29,,13556-182-A,,,,,,,,,,
,,M8X40 SOCKET HD SCREW,MF-SC-M6X40-SS,10,30,,13556-182-A,,,,,,,,,,
,,BLENDER EXTRACTION PIPE A,13556-183,1,31,,13556-182-A,,,,,,,,,,
,,BLENDER EXTRACTION PIPE B,13556-184,1,32,,13556-182-A,,,,,,,,,,
,10_Intensifier Lid,ASSY: INTENSIFIER W/ AIR PURGE SEAL,13502-071,1,1,,13502-070-A,,,,,,,,,,
,,ACTUATED VENT VALVE,09713-022,1,2,,13502-070-A,,,,,,,,,,
,,ACTUATOR CLAMP PLATE,09712-074,1,3,,13502-070-A,,,,,,,,,,
,,ROUNDLINE CYLINDER 25 D x 25 STROKE,RM-8025-MF-25,1,4,,13502-070-A,,,,,,,,,,
,,"ELBOW 1/8""BSP X 6mm O/D (P)",102470618,2,5,,13502-070-A,,,,,,,,,,
,,O-RING 50 I/D x 4 DIA,01-04-TA150-70MN,1,6,,13502-070-A,,,,,,,,,,
,,PULL RING 60 DIA,12063383,1,7,,13502-070-A,,,,,,,,,,
,,SEAL KELTAN (EPDM) DN60 1MM,100689515,1,8,,13502-070-A,,,,,,,,,,
,,INTENSIFIER VENT NOZZLE,09712-122,1,9,,13502-070-A,,,,,,,,,,
,,INTENSIFIER JUNCTION BOX,09713-016,1,10,,13502-070-A,,,,,,,,,,
,,FEMALE MODULE,40217,1,11,,13502-070-A,,,,,,,,,,
,,FORK PANEL GASKET,09713-018,1,12,,13502-070-A,,,,,,,,,,
,,VENT HALF,09713-023,2,13,,13502-070-A,,,,,,,,,,
,,M16X1.5 CABLE GLAND,RS-444-3035,2,14,,13502-070-A,,,,,,,,,,
,,"BLACK, IP68 LOCKNUT,M16X1.5THD",RS-444-3085,2,15,,13502-070-A,,,,,,,,,,
,,6MM O/D BULKHEAD CONNECTOR,100290600,3,16,,13502-070-A,,,,,,,,,,
,,C'SK SCREW M4X12LG ST STL,MF-SK-M4X12-SS,4,17,,13502-070-A,,,,,,,,,,
,,BUTTON HD SCREW M4X10LG ST STL,MF-SBT-M4X10-SS,4,18,,13502-070-A,,,,,,,,,,
,,REED SWITCH WITH 10M CABLE,M_50_LSU_5V,1,19,,13502-070-A,,,,,,,,,,
,,SWITCH BRACKET,QM/33/025/22,1,20,,13502-070-A,,,,,,,,,,
,,QUICK CONNECT PULL RING 80 DIA,12083903 QCONNECT,1,21,,13502-070-A,,,,,,,,,,
,,DN60 - DN 80 SPACER SEAL,09714-034,2,22,,13502-070-A,,,,,,,,,,
,,FAB: INTENSIFIER LID,09713-072,1,1,,13502-071-A,,,,,,,,,,
,,SPINDLE,09713-077,1,2,,13502-071-A,,,,,,,,,,
,,DEEP GROOVE RUBBER SEAL (SKF),6009-2RS1-C3,2,3,,13502-071-A,,,,,,,,,,
,,BEARING CAP,107-613,1,4,,13502-071-A,,,,,,,,,,
,,DOG CLUTCH PLATE,107-610,1,5,,13502-071-A,,,,,,,,,,
,,FAB: ONE PIECE BLADE STACK,108-585,1,6,,13502-071-A,,,,,,,,,,
,,CAP HD SCREW M5X30LG ST STL,MF-SC-M5X30-SS,2,7,,13502-071-A,,,,,,,,,,
,,DUST COVER SPACER,09712-084,1,8,,13502-071-A,,,,,,,,,,
,,INTERNAL CIRCLIP 75 DIA SS,CI-75-SS,1,9,,13502-071-A,,,,,,,,,,
,,SPINDLE SPACER,09712-081,1,10,,13502-071-A,,,,,,,,,,
,,O-RING 30 I/D X 3 DIA,01-06-TA330-70MN,1,11,,13502-071-A,,,,,,,,,,
,,AIR PURGE SEAL,09712-085,1,12,,13502-071-A,,,,,,,,,,
,,DEFLECTOR DISC,09712-082,1,13,,13502-071-A,,,,,,,,,,
,,INTENSIFIER LABEL,108-590,1,14,,13502-071-A,,,,,,,,,,
,,FITTINGS BLOCK,09713-079,1,15,,13502-071-A,,,,,,,,,,
,,RELIEF VALVE 3 PSI CRACK,532T1-2M-3,1,16,,13502-071-A,,,,,,,,,,
,,PRESSUE SWITCH 0.05-1 BAR,RS-511-2158,1,17,,13502-071-A,,,,,,,,,,
,,6MM O/D BULKHEAD CONNECTOR,100290600,1,18,,13502-071-A,,,,,,,,,,
,,POLYURETHANE TUBE 6mm - BLUE,PU0506025C,1,19,,13502-071-A,,,,,,,,,,
,,SEAL REPLACEMENT SPACER,09714-033,1,20,,13502-071-A,,,,,,,,,,
,,BONDED WASHER 14 I/DIA ST.STL.,BW_M14,1,21,,13502-071-A,,,,,,,,,,
,,FITTINGS BLOCK CAP,09713-084,1,22,,13502-071-A,,,,,,,,,,
,,O-RING - 20 I/D - 2DIA - FOOD GRADE,20X2SIL70R,1,23,,13502-071-A,,,,,,,,,,
,,BUTTON HD SCREW M3X6LG ST STL,MF-SBT-M3X6-SS,4,24,,13502-071-A,,,,,,,,,,
,11_Intensifier Drive,FAB: MOTOR PLATE & ALIGNMENT CYLINDER,107-589,1,1,,107-582-E,,,,,,,,,,
,,MOTOR FRAME FABRICATION,107-585,1,2,,107-582-E,,,,,,,,,,
,,ACTUATOR,AC-FS7001-16,3,3,,107-582-E,,,,,,,,,,
,,ANTI ROTATION BUSH,107-592,2,4,,107-582-E,,,,,,,,,,
,,INDUCTIVE SENSOR,IFM-IGA3005-APKG,1,5,,107-582-E,,,,,,,,,,
,,SETSCREW 3/8 UNC X 1.25 ST.ST,MF-SS-3/8UNCX1.25-SS,6,6,,107-582-E,,,,,,,,,,
,,SETSCREW M16X65LG ST STL,MF-SS-M16X65-SS,2,7,,107-582-E,,,,,,,,,,
,,FULL NUT M16 STAINLESS STEEL,MF-NF-M16-SS,4,8,,107-582-E,,,,,,,,,,
,,SETSCREW M20X90LG ST STL,MF-SS-M20X90-SS,4,9,,107-582-E,,,,,,,,,,
,,FULL NUT M20 ST STL,MF-NF-M20-SS,4,10,,107-582-E,,,,,,,,,,
,,FLAT WASHER 16 DIA,MF-WF-16DIA-SS,6,11,,107-582-E,,,,,,,,,,
,,FLAT WASHER 10 DIA,MF-WF-10DIA-SS,6,12,,107-582-E,,,,,,,,,,
,,CORK CLAMP PAD,TP-206120,3,13,,107-582-E,,,,,,,,,,
,,SETSCREW M16X100LG ST STL,MF-SS-M16X100-SS,4,14,,107-582-E,,,,,,,,,,
,,8MM O/D TUBE EQUAL TEE,100600800,4,15,,107-582-E,,,,,,,,,,
,,"1/4"" NPT - 8mm O/D STRAIGHT STEM",104150828,3,16,,107-582-E,,,,,,,,,,
,,8MM LLDPE TUBING (NATURAL),PE-0806-0100M-N,4,17,,107-582-E,,,,,,,,,,
,,8mm BULKHEAD,100290800,1,18,,107-582-E,,,,,,,,,,
,,M16 CABLE GLAND ATEX,RS-237-079,1,19,,107-582-E,,,,,,,,,,
,,NYLOC NUT M16 ST STL,MF-NS-M16-SS,2,20,,107-582-E,,,,,,,,,,
,,11KW 2 POLE MOTOR,11kW MTR 400V ZONE 2,1,1,,107-583-C,,,,,,,,,,
,,CLUTCH BODY PLATE,107-625,1,2,,107-583-C,,,,,,,,,,
,,CLUTCH BODY,107-622,1,3,,107-583-C,,,,,,,,,,
,,GRUB SCREW M6 x 6 ST. STL.,MF-SG-M6X6-SS,2,4,,107-583-C,,,,,,,,,,
,,CLUTCH PIN,107-623,4,5,,107-583-C,,,,,,,,,,
,,CLUTCH SPRING,D21990,4,6,,107-583-C,,,,,,,,,,
,,DOG CLUTCH,107-624,1,7,,107-583-C,,,,,,,,,,
,,O RING,FO-01-06-TA370,1,8,,107-583-C,,,,,,,,,,
,,CAP HD SCREW M6X16LG ST STL,MF-SC-M6X16-SS,2,9,,107-583-C,,,,,,,,,,
,,C'SK SCREW M12X35LG ST STL,MF-SK-M12X35-SS,1,10,,107-583-C,,,,,,,,,,
,,ASSEMBLY: MOTOR DRIVE FRAME,107-582,1,1,,107-742-C,,,,,,,,,,
,,ASSEMBLY: MOTOR & CLUTCH,107-583,1,2,,107-742-C,,,,,,,,,,
,,FULL NUT M12x1.75,MF-NF-M12-SS,4,3,,107-742-C,,,,,,,,,,
,,C'SK SCREW M12X60LG ST STL,MF-NF-M12-SS,4,4,,107-742-C,,,,,,,,,,
,,FLAT WASHER 12 DIA STAINLESS,MF-WF-12DIA-SS,4,5,,107-742-C,,,,,,,,,,
,,SPRING WASHER 12 DIA ST.ST,MF-WS-12DIA-SS,4,6,,107-742-C,,,,,,,,,,
Filling Wolf,Gehäuse Frame,Unterteil bottom part,135.01.001.04. Unterteil,1,1,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Vorderteil front part,135.01.001.04. Vorderteil,1,2,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Oberteil upper part,135.01.001.04. Obertail,1,3,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Hinterteil hind quarters,135.01.001.04. Hinterteil,1,4,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Gehäusefuß frame foot,135.01.135.00,2,5,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Frontplatte front plate,135.01.002.02,1,6,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,"Gelenkfuß, M20x160 D=100 hinged foot",31-02-068,4,7,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Blech sheet,135.01.005.00 - Blech,1,8,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Haken hook,135.01.005.00 - Haken,2,9,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Sechskantmutter M20 hexagonal nut,51-10-002,4,10,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Träger - rechts sopport right,135.01.025.01,1,11,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Träger - links support left,135.01.024.01,1,12,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Deckel cover,135.01.027.01,1,13,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Deckel cover,135.01.028.01,1,14,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,Deckplatte cover plate,135.01.004.01,1,15,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,SEITENTÜR siede door,175.01.006.00,1,16,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,"Gehäuse,m.Mutter frame with nut",32-00-303,1,17,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,"Zunge, St closure",32-00-305,1,18,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,"Betätigungseinsatz, Doppelbart actuating piece",32-00-306,1,19,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,,"Scharnier, kpl.schwarz hinge",31-00-229,2,20,,SparePart 2.14.013 Hal 1,,,,,,,,,,
,"Kopfplatte SH450 XL Säulen eckig
Top plate",SÄULE L=450 A-pillar,186.01.012.00,4,1,,SparePart 2.14.013 Hal 2,,,,,,,,,,
,,"U-Scheibe d8,4 A2 U-washer",52-10-001,4,2,,SparePart 2.14.013 Hal 2,,,,,,,,,,
,,Sechskantschraube M8x40 hexagon screw,50-10-001,4,3,,SparePart 2.14.013 Hal 2,,,,,,,,,,
,,Kopfplatte XL SD80,135.01.173.00,1,4,,SparePart 2.14.013 Hal 2,,,,,,,,,,
,,U-SCHEIBE U-washer,52-10-007,4,5,,SparePart 2.14.013 Hal 2,,,,,,,,,,
,,Sechskantschraube M12x40 hexagon screw,50-10-112,4,6,,SparePart 2.14.013 Hal 2,,,,,,,,,,
,Sicherheitsschalter Türanschlag LH Security Switch,Halter holder,135.01.146.00,1,1,,SparePart 2.14.013 Hal 3,,,,,,,,,,
,,Sicherheitssensor Nr.1184377 safety sensor,32-02-614,1,2,,SparePart 2.14.013 Hal 3,,,,,,,,,,
,,Halter holder,135.01.147.00,1,3,,SparePart 2.14.013 Hal 3,,,,,,,,,,
,,Magnet Nr.1184395 magnet,32-02-616,1,4,,SparePart 2.14.013 Hal 3,,,,,,,,,,
,,Zylinderschaube M04x16 cylinder screw,50-10-003,2,5,,SparePart 2.14.013 Hal 3,,,,,,,,,,
,,Zylinderschraube M4x10 cylinder screw,50-10-060,2,6,,SparePart 2.14.013 Hal 3,,,,,,,,,,
,Backenschutz Jaw cover,PROFILSTANGE L390 profile bar,135.01.101.00,4,1,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Lasche B050 T010 L187.5 ledge,135.01.185.00,4,2,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,"Gleitlager, Iglidur G 15x17x10 sliding bearing",31-02-476,4,3,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,SCHARNIER hinge,135.01.181.00,4,4,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,"Anlaufscheibe D24 d15 L1,5 attempt washer",31-01-687,8,5,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,FRONTTÜR front door,135.01.031.02,2,6,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,"Bügelgriff, 179x57 handle",31-02-478,2,7,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Welle bds. abgesetzt D25 L0900 shaft,2.5009.0008,2,8,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,SEITENPLATTE siede plate,135.01.103.00,2,9,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,DISTANZBUCHSE distance bushes,2.4000.0248,8,10,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,PLATTE plate,135.01.018.00,4,11,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,"Haftmagnetscheibe 32x7,0 magnet washer",31-02-477,4,12,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Halter für Sensor RH holder,135.01.182.00,2,13,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Halter für Sensor LH holder,135.01.183.00,2,14,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Sicherheitssensor Nr.1184377 sensor,32-02-614,1,15,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Sicherheitssensor Nr.1184361 sensor,32-02-615,1,16,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Magnet Nr.1184395 magnet,32-02-616,2,17,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,Scheibe D30 L05 d09 washer,2.0126.0004,8,18,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,,GEGENSTÜCK D25 H05.5 d04.2 counterpart,31-02-083,4,19,,SparePart 2.14.013 Hal 4,,,,,,,,,,
,ROLLENTRÄGER BASIS VPC/VPD 250,Traverse support bracket,135.03.001.01,2,1,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,DISTANZPLATTE distance plate,135.03.010.02,1,2,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Halter holder,135.03.012.00,2,3,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,UMLENKROLLE deflecting roller,2.4005.0004,4,4,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Radialkugellager d006D019B06 bearing,31-00-013_RKL,14,5,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Platte plate,135.03.126.00,4,6,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,DISTANZWELLE-Gewinde beidseitig distance shaft,2.5002.0333,1,7,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,TRAVERSE,135.03.030.02,2,8,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,HALTER holder,135.03.077.00,2,9,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Distanzwelle-Gewinde beidseitig distance shaft,2.5002.0319,1,10,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,LAGERBOCK bearing block,135.03.029.00,2,11,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,FLACHSTÜCK flat covering plate,135.03.026.00,2,12,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,UMLENKROLLE D25 L0615 deflecting roller,2.4005.0191,3,13,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Schraube screw,186.03.039.00,14,14,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Distanzbuchse D25 d10.5 L17.5 distance bushes,2.4000.0221,6,15,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,BOLZEN bolt,135.03.013.00,2,16,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,RKL d012D032B10 bearing,31-00-025,6,17,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Rillenkugellager bearing,31-00-041,4,18,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Umlenkrolle D25 L0615 deflecting roller,2.4005.0192,2,19,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,ACHSE axle,135.03.018.00,2,20,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Stellring A12 D22 B12 adjustment ring,135.03.019.00,4,21,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,HALTER-INDU holder,135.03.078.01,2,22,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Zahnrad M1.5 Z25 d12H9 VA spur gear,135.03.016.00,2,23,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,ACHSE axle,135.03.015.00,1,24,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,SCHEIBE washer,2.0127.0018,2,25,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Sicherungsring A12 DIN 471 locker ring,31-00-697,6,26,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,Sechskantmutter M8 hexagonal nut,51-10-001,14,27,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,"U-Scheibe d8,4 A2 U-washer",52-10-001,14,28,,SparePart 2.14.013 Hal 5,,,,,,,,,,
,,HALTER holder,135.03.027.00,2,29,,SparePart 2.14.013 Hal 5,,,,,,,,,,
